Code;name;Active;eShopWHCateg;SFPA;Timh;ico1
CMIML5081;"B2 ECCE  20+4 PR.TESTS + BOOKLET + COMPANION";A;@5@6@;Α;"37,00;31,00;28,86;25,90;24,79;0,00;27,75;33,00";CMIML5081_01.jpg
CMIKL5061;"B2 ECCE  20+4 PRACTICE TESTS ΚΑΘΗΓΗΤΗ";A;5@6@47;Α;"37,00;31,00;28,86;25,90;24,79;0,00;27,75;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00";CMIKL5061_01.jpg
CALKB200;"B2 FOR ALL  ΠΛΗΡΕΣ ΠΑΚ. ME COURSEBOOK ΚΑΘΗΓΗΤΗ";A;9@66@38@64@5;Α;"37,00;31,00;28,86;25,90;24,79;0,00;27,75;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00";CALKB200_01.jpg
CALKB203;"B2 FOR ALL  COURSEBOOK (EDI-CITY-ESB) ΚΑΘΗΓΗΤΗ";A;5@51;Α;"37,00;31,00;28,86;25,90;24,79;0,00;27,75;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00";CALKB203_01.jpg
CALMB207;"B2 GRAMMALYSIS + i-BOOK";A;5@65@26@29@28;Α;"37,00;31,00;28,86;25,90;24,79;0,00;27,75;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;29,82;25,74;23,10;22,11;0,00;24,75;30,00";CALMB207_01.jpg
